书籍编号,书名（25字符以内）,作者（不包含国籍等其他信息）,出版社,ISBN（10或13位纯阿拉伯数字）,字数（纯阿拉伯数字）,ER值（运营无需提供）（100~1300之间）,基础评分（十分制，精确到小数点后一位）,评分人数（1~1000）,原图书标签,一级标签（必填）,二级标签（必填）,特殊标签（选填）获奖、窦桂梅、新课标等,年级（与考拉年级标注对应）,定价,平台售价,折扣,出版日期,简介（无字数限制，顶行）,
120175,番石榴飘香,加西亚·马尔克斯,南海出版公司,9787544273756,103000,920,8.5,1000,传记与访谈,名人/传记,访谈,,7,,,,,本书是哥伦比亚作家P·A·门多萨和加西亚·马尔克斯的谈话录，内容涉及马尔克斯人生的各个方面，穿插着门多萨介绍谈话背景的优美散文，被读者誉为“打开马尔克斯世界的钥匙”。本书可以说是最有名、流传最广的马尔克斯访谈录，书中的许多句子后来都成了读者心目中马尔克斯的标志性言论。,
810041,鲁迅传,刘再复,人民日报出版社,9787511500175,280000,980,6.1,208,传记与访谈,名人/传记,传记,,7.5,,,,,鲁迅是出现在20世纪中国苦难大地上的一种天才“异象”，他的作品是近现代中华民族苦闷的总象征，这是刘再复先生对鲁迅的总评价。本书由两部分组成，第一部分是“传记”，第二部分是“评连”。书中还收入了刘再复与李泽厚、林岗等友人关于鲁迅的共同思索，这又是一些实实在在的“灵魂共振”，其思想锋芒还辐射到鲁迅之外更广泛的人文科学领域。,
810049,甘地自传,甘地,吉林出版集团有限责任公司,9787546311166,340000,1070,7.8,208,传记与访谈,名人/传记,传记,,8,,,,,影响世界格局的风云人物，抗拒专制、拯救民权的印度圣雄，唤醒三亿人反抗精神的“非暴力之父”。,
810059,三作家：卡萨洛瓦、司汤达、托尔斯泰,斯蒂芬·茨威格,安徽文艺出版社,9787539642147,250000,1100,7.8,208,传记与访谈,名人/传记,传记,,8,,,,,"本书中，斯蒂芬·茨威格从世界文坛上选择了三个作家作为他研究的对象。他们分别是意大利作家卡萨诺瓦、法国作家司汤达和俄国作家托尔斯泰。斯蒂芬·茨威格是从心理分析在文学作品中表现这个角度来研究作家的生活和创作。他认为这三个作家是代表了三个不同的阶段,一级高于一级。卡萨诺瓦是原始阶段,他的作品无非是把自己的生活经历白描一番，诉之于纸，未加评论，未作分析。而司汤达是心理学阶段。到了托尔斯泰则更进一步，进入道德、宗教阶段。",
810080,爱因斯坦传（李红丽）,李红丽,光明日报出版社,9787511239105,109000,1010,7.0,208,传记与访谈,名人/传记,传记,,7.5,,,,,阿尔伯特·爱因斯（1879—1955年），犹太人，举世闻名的科学家，现代物理学的开创者和奠基人。并在1921年获得诺贝尔物理学奖，1955年在普林斯顿辞世。1999年12月26日，爱因斯坦被美国《时代》周刊评选为“世纪伟人”。他是天才的物理学家，被称为“整个世纪的大脑”。他提出的质能公式E＝MC2，被誉为“改变世界的方程式”。他有着坎坷的人生，经历了再次世界大战，但他热爱自由与平等，关注人类命运，从未向强权低过头。他生命不息，奋斗不止……,
810088,胡适自传,胡适,金城出版社,9787515506470,130000,940,7.9,208,传记与访谈,名人/传记,传记,,7.5,,,,,本书收录了胡适的《先母行述》、《四十自述》、《我的信仰》、《逼上梁山》等几部作品。通过这些作品，读者可以窥见胡适的一生及其思想历程。因为除了它是出自二十多岁即“暴得大名”的胡适之手，本身就是深为人们关注的理由外，读者还可以从书中见识到这位五四新文化运动主将童年生活的真实片段，特别是感受胡适先生与自己的过去“对话”时所独具的文化眼光。,
810093,贝多芬传,罗曼·罗兰,华文出版社,9787507538991,110000,960,8.8,425,传记与访谈,名人/传记,传记,,7,,,,,贝多芬生在一个“破”与“立”相冲突的时代。他才华横溢，创作了一曲又一曲传世之作；他命运多舛，历经磨难，依然坚持着“一心向善，爱自由甚于爱一切；在任何情况下，绝不背叛真理。”的初衷。在这部传记中，作者从不同的视角，不仅以优美的语言讲述了音乐大师贝多芬充满传奇色彩的人生，更将一个伟大心灵展现在读者面前。同时，罗曼·罗兰还将贝多芬的遗嘱、书信整理成集收入其中。,
810100,居里夫人传（全译本）,艾芙·居里,北京燕山出版社,9787540215866,320000,960,8.5,811,传记与访谈,名人/传记,传记,,7,,,,,这部传记是由居里夫人的女儿亲自写出的，作者以一个家庭成员的特殊身份，极其真实地记录了她父母的一生。叙述生动感人，内容翔实丰富，引用了居里夫妇和他们的亲友的许多信札、日记和其他文字材料，详尽地描绘了一个伟大的女科学家的人生轨迹。传记因为是由女儿亲自撰写，使得读者和居里夫人之间的距离拉近了。我们跟随着作者的视角，似乎被带到了居里夫人的实际生活和工作场景当中，近距离地观察这位伟大科学家的行为举止、工作精神、处世态度和崇高品质。,
810101,林肯传（中小学生必读名著）,戴尔·卡耐基,吉林出版集团有限责任公司,9787546311241,191000,1060,8.8,250,传记与访谈,名人/传记,传记,,8,,,,,一本关于人性光辉的伟大著作！伟大的成功学家解读伟大的总统！成功学大师卡耐基以其感人至深的笔触，描述了这位平民总统具有传奇色彩的一生，使一个神情忧郁、百折不挠、品德高尚、满怀仁慈之心的林肯形象在我们面前呼之欲出，栩栩如生。本书助你从林肯总统的传奇事迹中领悟成功秘诀，让你懂得一个人无论出身如何低微，只要努力，都可以拥有非凡人生的道理。,
810104,我们仨,杨绛,生活·读书·新知三联书店,9787108042453,90000,1040,9.0,1000,传记与访谈,名人/传记,传记,,7.5,,,,,《我们仨》分为两部分。第一部分中，杨绛以其一贯的慧心、独特的笔法，用梦境的形式讲述了最后几年中一家三口相依为命的情感体验；第二部分，以平实感人的文字记录了自1935年伉俪二人赴英国留学，并在牛津喜得爱女，直至1998年钱先生逝世63年间这个家庭鲜为人知的坎坷历程。作为老派知识分子，她的文字含蓄节制，那难以言表的亲情和忧伤弥漫在字里行间，令读者无不动容。生命的意义不会因为躯体的生灭而有所改变，那安定于无常世事之上的温暖亲情已经把他们仨永远联结在一起，家的意义也在此书中得到了尽情的阐释。,
810109,马克思传,戴维·麦克莱伦,中国人民大学出版社,9787300092218,544000,970,8.3,177,传记与访谈,名人/传记,传记,,8,,,,,《卡尔·马克思传》是英语世界权威的马克思生平、思想研究文献之一。这里翻译的是该书2006年出版的版本，它的特色：一是详细剖析了马克思的思想文献，如马克思的几大经济学笔记；二是深入细致地刻画了马克思一生的生活，工作和理论研究经历，揭示了许多鲜为人知的情况和资料。书中所提供的新资料对我国学界正在盛行的马克思著作的研究，无疑有重要的参考价值。,
810115,一个女中学生的日记,肖复兴,首都师范大学出版社,9787565619427,268000,940,8.0,208,传记与访谈,小说/名著,成长小说,,7,,,,,这是一部反映20世纪80年代中学生生活的日记体长篇小说。肖复兴用简洁而细腻的第一人称的笔法，讲述了高三女生路天琳纯情而真实的校园故事，勾画出青春期少女对友谊与爱情的梦幻、对真诚与理想的渴望，以及她从幼稚纯情到逐渐走向成熟的青春轨迹。小说还描写了路天琳的同学郭辉、班主任黄老师等多姿多彩的群体形象，真实细腻地表现了当代中学生勤于思索、热爱生活、把握自我、追求真正人生价值的优秀品质。作者借着这个群体部分师生的思考，对扼杀创新精神的应试型教育体制提出了大胆的质疑。小说文笔如行云流水、清新自然、娓娓动人，真实而平易的叙述描写中表现出极强的艺术魅力，让人手不释卷，欲罢不能。,
810127,邓小平传,理查德·伊文思　,国际文化出版公司,9787512506442,260000,950,7.5,430,传记与访谈,名人/传记,传记,,7,,,,,《邓小平传》是西方邓小平研究专家、英国前驻华大使理查德·伊文思三十年心血之作。作者与邓小平多次面对面接触，独家掌握第一手材料，真实再现重大历史事件，全方位揭秘鲜为人知的邓小平，是一部公观公正的纪念碑式传记作品。,
810128,孙中山传,李凡,浙江大学出版社,9787308091534,427000,990,6.4,208,传记与访谈,名人/传记,传记,,7.5,,,,,《孙中山传》于1978年正式动笔，原书名之所以称为“全传”，意在力求叙述孙中山的各个方面，包括他一生艰险曲折的战斗历程、政治活动、哲学思想以及他的学识、气质、胆略、器量、爱好、衣食、清俭廉洁的生活作风和伟大的人格等。没有一言是夸张，没有一事是杜撰，书中叙及的每个感人的情节，完全是革命先行者孙中山先生实在的事迹和言行。,
810129,妞妞：一个父亲的札记,周国平,长江文艺出版社,9787535453709,210000,980,8.6,1000,传记与访谈,名人/传记,传记,,7,,,,,妞妞出生后不久就被诊断患有绝症，带着这绝症极可爱也极可怜地度过了短促的一岁半时间。在这本书中，至情至性的周国平写下了女儿妞妞的可爱和可怜，他和妻子在死亡阴影笼罩下抚育女儿的爱哀交加的心境，在摇篮旁兼墓畔的思考。对于作者夫妇来说，妞妞的故事是他们生命中美丽而悲惨的故事。,
810136,卓别林传,胡海,中国社会出版社,9787508714059,150000,1100,7.5,208,传记与访谈,名人/传记,传记,,8,,,,,生活是一部喜剧，也是一部悲剧，命运以悲欢离合、喜怒哀乐为经纬，编织着人生。悲观的人在喜剧中看到了悲剧的色彩，乐观的人在悲剧中品出了喜剧的味道。童年的卓别林，在贫穷中快乐地成长着，从不如意的生活中汲取着喜剧的养料。就是一个这样成长起来的孩子，最后却给全世界带来了无与伦比的欢笑……,
810137,伟大的一步：尼尔·阿姆斯特朗,唐·布朗,北京联合出版公司,9787550203464,2500,480,7.4,208,传记与访谈,名人/传记,传记,,2,,,,,两岁大的尼尔·阿姆斯特朗观赏了一场飞行比赛，这深深刻印在他幼小的心上。尼尔一天天长大，他一次又一次梦见自己屏住呼吸，飘浮在半空中。他在教会的墓地割草、在面包店打工，支付上百架模型飞机和《空中旅行》杂志的费用。在万里无云的夜里，他会爬上邻居金德先生的车库屋顶，用望远镜欣赏月亮和星星。一天，尼尔问父母，可不可以让他去学开飞机？他的父母答应了。一九六九年七月二十日，这个生性害羞的小男孩踏上了月球，成为几百万人心目中的大英雄。,
810139,飞行者：莱特兄弟,艾伦·德拉蒙德,北京联合出版公司,9787550208810,1500,440,7.6,208,传记与访谈,名人/传记,名人故事,,1.5,,,,,本书是我社出版的启发精选世界优秀畅销绘本系列之一，适合4岁以上儿童阅读。这本书以两条线索并进的方式来讲述了莱特兄弟驾驶着“飞行者一号”实现人类梦想的过程。故事的一条线索是几个小朋友以不同的方式幻想着成为世界上第一个飞上蓝天的人，另一条线索是莱特兄弟不断试验飞上蓝天的历程，交叉行进，有趣生动。在全书的结尾，作者还回顾了飞行史上重要的人物和事件，小读者能学到很多知识。,
810142,叶挺,朱司俊,二十一世纪出版社,9787539163055,68000,760,7.0,208,传记与访谈,名人/传记,传记,,5.5,,,,,叶挺是一个天生的军事家，是中国人民解放军的创始人之一。他带领的独立团在北伐中被誉为“铁军”，参加广州起义时任起义总指挥和工农红军总司令，抗日战争中又出任新四军军长。岁月见证了他不朽的英名与永生的精神。,
810148,白求恩,冬立,二十一世纪出版社,9787539142173,79500,580,7.5,208,传记与访谈,名人/传记,名人故事,,3,,,,,白求恩，这个蓝眼睛、白皮肤的加拿大外科医生，在抗日战争最艰苦的岁月里，带着大批药品、选进的医疗器械和他高超的医疗技术以及对中国人民的民族解放事业无限的热忱来到了中国。从此，哪里有伤员，白求恩大夫就出现在哪里。他曾经连续69个小为115名伤员动手术……在一次手术中，他的手指不慎割破遭感染。白求恩被病毒夺去了生命，但他的名字永远铭刻在了中国人民的心中。,
810157,张海迪,赵霰,二十一世纪出版社,9787539151342,72900,680,8.0,208,传记与访谈,名人/传记,名人故事,,4,,,,,学习宣传英雄楷模，推动社会主义核心价值体系建设，正成为全社会的共同行动。我们希望通过这套丛书，让享受着改革开放成果幸福成长的少年读者了解历史亲近英雄、树立理想、坚定信念，把个人的成长进步同中国特色社会主义伟大事业同社会的繁荣富强紧密联系在一起，为实现中华民族伟大复兴而努力奋斗。,
810162,王进喜,冷笛,二十一世纪出版社,9787539151335,72900,570,8.3,208,传记与访谈,名人/传记,名人故事,,3,,,,,井喷了，这将是一场井毁人亡的惨祸。在这生死关头，王进喜不顾打井时被砸伤的腿，猛地扔掉拐杖，带头跳进滚烫的泥浆池，用自己的血肉之躯当搅拌机，奋力地搅拌着泥浆，最终制服了井喷。从此铁人和铁人精神成为了一个时代最荣耀最响亮的楷模与标志。,
810169,袁隆平,魏晓雯,二十一世纪出版社,9787539151366,72900,790,9.0,208,传记与访谈,名人/传记,名人故事,,5,,,,,让所有的人远离饥饿，是袁隆平毕生的梦想和奋斗目标。他淡泊并专注于田畴，经历了无数次的失败挫折最终创造了一个个神话般的奇迹。袁隆平为中国赢得了宝贵的时间，他在农业科学的成就击败了饥饿的威胁，他正引导着我们走向一个丰衣足食的世界。,
810189,牛顿传,詹姆斯·格雷克,高等教育出版社,9787040158359,250000,960,8.5,252,传记与访谈,名人/传记,传记,,7,,,,,牛顿是历史上无可争议的最伟大的科学家之一，他在数学和物理方面的成就标志着现代科学形成过程的高峰。理查德·韦斯特福尔详细叙述了牛顿的个人生活和科学家、哲学家、神学家、炼金术士以及作为名人——皇家学会会长和造币厂厂长的复杂人生旅程。,
